Ticker,reward_risk_v2,fund_sources_used_v2,price_sources_used_v2,reliability_score_v2,risk_gate_reason_v2
ALB,0.8460120486861683,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],50.173286231033984,rr_gate=blocked;rel_gate=full;quality=good
ALL,0.6167753722763922,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.49856175331179,rr_gate=blocked;rel_gate=full;quality=good
GOOGL,0.806521833130517,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.25292262256522,rr_gate=blocked;rel_gate=full;quality=good
GOOG,0.8228578992234472,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.271774096180664,rr_gate=blocked;rel_gate=full;quality=good
AMGN,0.48709682640804997,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.45970423715406,rr_gate=blocked;rel_gate=full;quality=good
AAPL,0.9216773454385887,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.26755330976755,rr_gate=blocked;rel_gate=full;quality=good
AIZ,0.7778963673473631,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.479322921251054,rr_gate=blocked;rel_gate=full;quality=good
BKR,0.8740280683631114,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.15463309682259,rr_gate=blocked;rel_gate=full;quality=good
BIIB,0.1588183413041921,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.28842535476071,rr_gate=blocked;rel_gate=full;quality=good
BG,0.9414923345724651,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.2782945270893,rr_gate=blocked;rel_gate=full;quality=good
CAH,0.34833026112204163,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.47691666217001,rr_gate=blocked;rel_gate=full;quality=good
CBOE,0.9578311097991721,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.6659315360757,rr_gate=blocked;rel_gate=full;quality=good
COR,0.586891469199078,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.692898922178586,rr_gate=blocked;rel_gate=full;quality=good
CNP,0.8596480269680745,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.86906253806741,rr_gate=blocked;rel_gate=full;quality=good
CINF,0.9502262929422455,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.560837071292454,rr_gate=blocked;rel_gate=full;quality=good
CSCO,0.9730897966824287,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.61433311282266,rr_gate=blocked;rel_gate=full;quality=good
CMI,0.7478614339555097,"[""Fund_from_FMP"", ""Fund_from_Finnhub""]",[],51.33440689183509,rr_gate=blocked;rel_gate=full;quality=good
