RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,RR_MomCons,RSI_Neutral,Risk_Score,Vol_Mom
-0.65252626,-0.3889138,0.024940172,0.07086605,0.04800669,-0.2896978,-0.79636633,0.2156973,-0.3076529,-0.2001004
-0.23057275,-1.5202701,0.14520556,-0.20573753,0.01904732,-0.10925794,0.32496434,0.19500305,-1.144084,-0.0019472532
-0.49640083,0.50643736,0.20016582,0.036378898,-0.06783682,-0.31153667,-0.505954,0.23503321,-0.08022066,-0.2250315
0.78579754,-0.13742448,-0.039268512,-0.060642876,0.11150537,0.035057843,-0.5023607,-0.45577472,0.39747024,-1.4959804
-0.07923084,-0.9983928,0.2499783,0.027288262,0.011495772,-0.14650014,-0.36156848,-1.3213398,0.10304823,-1.3106253
-0.60581106,-1.2094585,0.0777547,-0.0021815063,0.049425673,-0.34279317,-0.66233784,0.048243508,-0.4604303,-0.17331553
0.031600762,-0.010873953,-1.2613338,-0.31718424,-0.121220976,-0.18963335,0.35184696,-0.44956544,-0.635604,-0.2930092
0.09144904,0.0005912399,-0.21810506,-0.2897203,-0.036449224,0.075110085,-0.4407362,-0.7134894,-0.11486694,-0.4755902
-0.60008496,-0.7603272,0.38681817,-0.025926176,0.045412622,-0.46230152,-0.73271686,-0.0049893856,-0.121779844,0.08041878
0.35723296,0.049259968,-0.6395928,-0.17290182,-0.21637234,-0.26016265,0.11579172,-0.35281515,-0.2545473,-0.24051754
-0.12658602,-0.5940778,0.3072112,-0.02414577,0.014975115,-0.14946292,-0.58790183,0.26756424,0.26635203,-0.33655158
0.02594834,-0.08099215,0.34245956,-0.012625546,0.026777484,-0.19791192,0.045041896,0.21345265,-0.7901077,-0.7028122
-0.60633796,-1.2239374,0.074790105,-0.0018044133,0.044549007,-0.33026972,-0.59639835,-0.065412655,-0.46717167,-0.22118656
0.081465065,-0.024984552,-1.264672,-0.3271411,-0.121220976,0.55033815,0.28477794,-0.41738126,-0.55660295,-0.3881532
-0.29986364,-0.32933956,0.18621558,-0.3328694,-0.092708014,0.37395275,-0.5153442,0.13713211,-0.5263226,-0.3900923
-0.051954836,0.6922623,0.3563162,0.14277394,0.066134326,0.36954522,-0.39365906,0.40221608,0.2491167,0.47768503
0.14750698,0.7651215,0.16812816,-0.056934033,-0.038932532,0.31047168,-0.16257566,0.4239434,-0.01014087,0.5243337
-0.27287394,-1.2679815,0.29693562,-0.28717706,-0.046342887,-0.1587929,0.235645,0.3491912,-0.07094373,-0.15982129
-0.16594522,0.8147811,0.20161963,0.18199368,0.07187372,0.12465062,-0.10090309,0.33458912,-0.05626877,0.10000737
0.09307484,-0.08737538,-0.3997857,-0.17130996,-0.051232874,-0.19556372,0.2073582,-0.16998707,-0.463386,-0.95725733
-0.41450566,0.40844277,0.40459365,-0.022983681,-0.0432568,-0.40043625,-0.7648697,-0.06266336,-0.28009328,-0.25346512
0.07980572,0.16440684,-0.1355022,-0.09547588,-0.029113274,-0.07740851,-0.18277937,0.043153107,-0.9029503,0.04424963
-0.25729722,-1.2692842,0.18118253,-0.01091249,0.021439722,0.09495716,0.03715508,0.16891064,-1.2854798,-0.28377712
0.25376138,-0.040095534,0.44615728,0.14826228,0.0728929,0.15100418,-0.12636523,0.4846884,0.088537924,0.07334437
-0.11580701,-1.0412539,0.234575,0.057244547,-0.031858794,-0.21851857,-0.22074357,-1.0471883,0.085105255,0.25123766
